AppID;Name;Publisher;Owners;Price;Discount;Tags;Genres;Languages;CCU;ScoreRank;AvgPlaytimeForever;AvgPlaytime2Weeks
1845910;Dragon Age: The Veilguard;Electronic Arts;2,000,000 .. 5,000,000;29,99 USD;50%;;;;3011;0;3333;0
1846380;Need for Speed Unbound;Electronic Arts;1,000,000 .. 2,000,000;4,89 USD;93%;;;;1809;0;2340;17
1849250;EA SPORTS WRC;Electronic Arts;500,000 .. 1,000,000;14,99 USD;70%;;;;725;0;1138;66
1850510;TRIANGLE STRATEGY;Square Enix;50,000 .. 100,000;23,99 USD;60%;;;;163;0;1484;0
1858630;SWORD ART ONLINE Fractured Daydream;BANDAI NAMCO Entertainment;100,000 .. 200,000;39,59 USD;34%;;;;129;0;916;0
1859470;PAC-MAN WORLD Re-PAC;BANDAI NAMCO Entertainment;50,000 .. 100,000;5,99 USD;80%;;;;12;0;245;0
1874000;Life is Strange: Double Exposure;Square Enix;100,000 .. 200,000;29,99 USD;40%;;;;210;0;725;0
1877020;Jujutsu Kaisen Cursed Clash;BANDAI NAMCO Entertainment;50,000 .. 100,000;38,99 USD;35%;;;;38;0;0;0
1888160;ARMORED CORE VI FIRES OF RUBICON;BANDAI NAMCO Entertainment;2,000,000 .. 5,000,000;35,99 USD;40%;;;;1669;0;1910;21
1895810;Infinity Strash: DRAGON QUEST The Adventure of Dai;Square Enix;20,000 .. 50,000;29,99 USD;50%;;;;0;0;0;0
1897050;VARIOUS DAYLIFE;Square Enix;20,000 .. 50,000;11,59 USD;60%;;;;4;0;280;0
1922560;Plants vs. Zombies Garden Warfare 2: Deluxe Edition;Electronic Arts;1,000,000 .. 2,000,000;4,49 USD;85%;;;;1874;0;581;193
1938010;WILD HEARTS;Electronic Arts;200,000 .. 500,000;10,49 USD;85%;;;;101;0;572;0
1963210;VALKYRIE ELYSIUM;Square Enix;20,000 .. 50,000;23,99 USD;60%;;;;9;0;0;0
1971650;OCTOPATH TRAVELER II;Square Enix;200,000 .. 500,000;29,99 USD;50%;;;;757;0;1515;0
1979440;SAND LAND;BANDAI NAMCO Entertainment;20,000 .. 50,000;29,99 USD;50%;;;;50;0;437;0
1996630;Dungeon Keeper Gold;Electronic Arts;50,000 .. 100,000;1,99 USD;60%;;;;21;0;0;0
2009100;Immortals of Aveum;Electronic Arts;200,000 .. 500,000;8,99 USD;85%;;;;57;0;2073;0
2014380;LIVE A LIVE;Square Enix;20,000 .. 50,000;19,99 USD;60%;;;;31;0;955;0
2014380;LIVE A LIVE;Square Enix;20,000 .. 50,000;19,99 USD;60%;;;;31;0;955;0
2106840;PARANORMASIGHT: The Seven Mysteries of Honjo;Square Enix;200,000 .. 500,000;11,99 USD;40%;;;;93;0;625;0
2108330;F1 23;Electronic Arts;1,000,000 .. 2,000,000;69,99 USD;0%;;;;899;0;3361;0
2140330;Madden NFL 24;Electronic Arts;100,000 .. 200,000;0,00 USD;0%;;;;382;0;939;0
